Pipeline name,Cloned Pipeline name,Table Names,Table Type,Workspace path,Workspace cloned path,Status
KCD_3PD_DATAAXLE_RNL_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_RNL_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
Master_Pipeline_Burts_Events_Daily,,kcd.burts_braze_events,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779946239?o=6570979354637638,,
Master_Pipeline_Burts_Events_Daily,,kcd.burts_web,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779946239?o=6570979354637638,,
Master_Pipeline_Clorox_Events_Daily,,kcd.clx_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Clorox_Events,,
Master_Pipeline_Glad_Events_Daily,,kcd.glad_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Glad_Events,,
Master_Pipeline_HVR_Events_Daily,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_HVR_Events,,
Master_Pipeline_Kingsford_Events_Daily,,kcd.kf_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Kingsford_Events,,kcd.kf_acoustic_events
Master_Pipeline_Pawpoints_Events_Daily,,kcd.ppr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_PPR_Events,,kcd.ppr_acoustic_events
Master_Pipeline_PineSol_Events_Daily,,kcd.pinesole_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Master_Notebooks/Master_Pipeline_Pinesol_Events,,
Master_Pipeline_Burts_Events_One_Time_Load,,kcd.burts_braze_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Burts_OneTime,,
Master_Pipeline_Burts_Events_One_Time_Load,,kcd.burts_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Burts_OneTime,,
Master_Pipeline_Clorox_Events_One_Time_Load,,kcd.clx_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Clorox_OneTime,,
Master_Pipeline_Clorox_Events_One_Time_Load,, kcd.clx_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Clorox_OneTime,,
Master_Pipeline_Glad_Events_One_Time_Load,,kcd.glad_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Glad_OneTime,,
Master_Pipeline_Glad_Events_One_Time_Load,,kcd.glad_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Glad_OneTime,,
Master_Pipeline_HVR_Events_One_Time_Load,,kcd.hvr_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_HVR_OneTime,,
Master_Pipeline_HVR_Events_One_Time_Load,,kcd.hvr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_HVR_OneTime,,
Master_Pipeline_Kingsford_Events_One_Time_Load,,kcd.kf_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Kingsford_OneTime,,
Master_Pipeline_Kingsford_Events_One_Time_Load,,kcd.kf_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Kingsford_OneTime,,
Master_Pipeline_Pawpoints_Events_One_Time_Load,,kcd.ppr_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_PPR_OneTime,,
Master_Pipeline_Pawpoints_Events_One_Time_Load,,kcd.ppr_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_PPR_OneTime,,
Master_Pipeline_PineSol_Events_One_Time_Load,,kcd.pinesol_acoustic_events,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Pinesol_OneTime,,
Master_Pipeline_PineSol_Events_One_Time_Load,,kcd.pinesol_web,External Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Onetime_Load/02_EventsData_CuratedZone_Pinesol_OneTime,,
,,,,,,
,,,,,,
,,,,,,
